n, runtimeRecursive, runtimeLoop
1,2700,1800
2,500,500
3,500,400
4,1200,600
5,1300,600
6,1900,500
7,3300,600
8,6300,600
9,10700,500
10,8700,500
11,17700,500
12,18700,500
13,30500,600
14,49300,500
15,78500,600
16,120300,500
17,76500,1400
18,46100,1100
19,71500,1200
20,113000,1300
21,189100,1300
22,299000,1400
23,417100,1200
24,403300,3500
25,924300,1600
26,839200,2000
27,1705200,1800
28,2210400,3400
29,4442500,1800
30,5030400,3200
31,8553300,7100
32,15576400,6800
33,24872100,11100
34,33567300,7000
35,58549600,14300
36,162141000,3000
37,146128800,3800
38,213413200,2900
39,335161700,2900
40,557527000,2600
41,855542600,2600
42,1406480400,2900
43,2231901800,3700
44,3606263600,2600
